00:00,0,0,0,0,0,0,5.27
01:00,0,0,0,0,0,0,5.2
02:00,0,0,0,0,0,0,5.13
03:00,0,0,0,0,0,0,5.06
04:00,0,0,0,0,0,0,5
05:00,0,0,0,0,0,0,4.92
06:00,0,0,0,0,0,0,4.88
07:00,0,0,0,0,0,0,5.01
08:00,2.18,0.79,1.37,3.6,2.48,0.98,5.03
09:00,123.22,69.79,52.58,205.35,142.52,57.43,5.24
10:00,204.13,116.81,85.75,278.41,185.82,83.72,5.76
11:00,263.02,157.54,103.44,328.91,219.56,98.64,6.31
12:00,286.42,170.91,113.25,346.77,228.63,106.65,6.73
13:00,261.49,154.17,105.27,325.06,214.13,100.23,6.99
14:00,208.35,118.88,87.87,282.62,187.78,85.8,7.1
15:00,129.72,74.89,53.94,215.48,150.71,59.15,7.01
16:00,7.86,3.28,4.5,13.48,9.37,3.62,6.67
17:00,0,0,0,0,0,0,6.24
18:00,0,0,0,0,0,0,5.95
19:00,0,0,0,0,0,0,5.84
20:00,0,0,0,0,0,0,5.69
21:00,0,0,0,0,0,0,5.54
22:00,0,0,0,0,0,0,5.43
23:00,0,0,0,0,0,0,5.32
